Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
306,0,0.0802780973213584,,,,,,
307,0,0.0801589181330381,0.160437015454397,,,,,
308,0,0.0800400866473309,,,,,,
309,0,0.0799209049919701,0.159960991639301,,,,,
310,0,0.079802802095128,,,,,,
311,0,0.0796837531073363,0.159486555202464,,,,,
312,0,0.0795644355746053,,,,,,
313,0,0.0794435689301895,0.159008004504795,,,,,
314,0,0.0793221585631701,,,,,,
315,0,0.0792217595408731,0.158543918104043,,,,,
316,0,0.0792045623046001,,,,,,
317,0,0.0799081101644437,0.159112672469044,,,,,
318,0,0.0797850567640655,,,,,,
319,0,0.0796632484334113,0.159448305197477,,,,,
320,0,0.079540958211509,,,,,,
321,0,0.0794186652057542,0.158959623417263,,,,,
322,0,0.0792968093490676,,,,,,
323,0,0.0791756418138143,0.158472451162882,,,,,
324,0,0.0790550082383955,,,,,,
325,0,0.0789349959852818,0.157990004223677,,,,,
326,0,0.0788153648684836,,,,,,
327,0,0.0786964368918797,0.157511801760363,,,,,
328,0,0.0785775043778304,,,,,,
329,0,0.0784589863167194,0.15703649069455,,,,,
330,0,0.078341044907493,,,,,,
331,0,0.0782236749398996,0.156564719847393,,,,,
332,0,0.0781073429969227,,,,,,
333,0,0.0779912501166402,0.156098593113563,,,,,
334,0,0.0778755323242734,,,,,,
335,0,0.0777603231185764,0.15563585544285,,,,,
336,0,0.0776458841790967,,,,,,
337,0,0.0775317145004129,0.15517759867951,,,,,
338,0,0.0774177340717581,,,,,,
339,0,0.077304835434507,0.154722569506265,,,,,
340,0,0.0771932685073026,,,,,,
341,0,0.0770824774822525,0.154275745989555,,,,,
342,0,0.076972483734876,,,,,,
343,0,0.0768628925111656,0.153835376246042,,,,,
344,0,0.0767530503016376,,,,,,
345,0,0.0766443334668821,0.15339738376852,,,,,
346,0,0.0765356603564819,,,,,,
347,0,0.0764277262801904,0.152963386636672,,,,,
348,0,0.0763207052022278,,,,,,
349,0,0.0762142803922207,0.152534985594448,,,,,
350,0,0.0761089629883577,,,,,,
351,0,0.0760042529138286,0.152113215902186,,,,,
352,0,0.0758987928781844,,,,,,
353,0,0.0757937515472842,0.151692544425469,,,,,
354,0,0.0756898768525704,,,,,,
355,0,0.0755862779214504,0.151276154774021,,,,,
356,0,0.075483097495116,,,,,,
357,0,0.0753802296596061,0.150863327154722,,,,,
358,0,0.075277906053664,,,,,,
359,0,0.0751766865592125,0.150454592612876,,,,,
360,0,0.0750759866844368,,,,,,
361,0,0.0749745487256854,0.150050535410122,,,,,
362,0,0.0748750630229496,,,,,,
363,0,0.0747752899872767,0.149650353010226,,,,,
364,0,0.0746766190894258,,,,,,
365,0,0.0745784880076892,0.149255107097115,,,,,
366,0,0.0744806930484583,,,,,,
367,0,0.0743828864005991,0.148863579449057,,,,,
368,0,0.0742860927761609,,,,,,
369,0,0.0741902281549352,0.148476320931096,,,,,
370,0,0.0740941555779696,,,,,,
371,0,0.0739982901303389,0.148092445708309,,,,,
372,0,0.073902921164996,,,,,,
373,0,0.0738077763472037,0.1477106975122,,,,,
374,0,0.0737133891436262,,,,,,
375,0,0.0736196490784654,0.147333038222092,,,,,
376,0,0.0735268960000179,,,,,,
377,0,0.0734335716204575,0.146960467620475,,,,,
378,0,0.0733401527570566,,,,,,
379,0,0.07324800713047,0.146588159887527,,,,,
380,0,0.0731557950986021,,,,,,
